City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rocha,UY,2022-03-23 05:32:15,-34.4833,-54.3333,64.06,94,93,3.33
1,Tiksi,RU,2022-03-23 05:32:15,71.6872,128.8694,-2.56,93,64,2.19
2,Victoria,HK,2022-03-23 05:32:13,22.2855,114.1577,64.26,90,100,5.01
3,Ribeira Grande,PT,2022-03-23 05:32:16,38.5167,-28.7,60.3,68,92,10.33
4,Hobyo,SO,2022-03-23 05:32:16,5.3505,48.5268,82.15,64,57,7.11
5,Kruisfontein,ZA,2022-03-23 05:32:17,-34.0033,24.7314,63.88,75,0,3.0
6,Sobolevo,RU,2022-03-23 05:32:17,54.4299,31.8996,31.8,98,100,4.16
7,Saint-Georges,GD,2022-03-23 05:32:18,12.0564,-61.7485,78.48,78,40,17.27
8,Luderitz,NA,2022-03-23 05:32:19,-26.6481,15.1594,63.81,86,0,10.8
9,Namibe,AO,2022-03-23 05:32:19,-15.1961,12.1522,74.19,84,100,3.29
10,Kirakira,SB,2022-03-23 05:32:20,-10.4544,161.9205,83.32,73,79,5.28
11,Atar,MR,2022-03-23 05:32:20,20.5169,-13.0499,68.31,25,1,12.88
12,Hilo,US,2022-03-23 05:30:26,19.7297,-155.09,74.93,84,40,4.61
13,Saint-Philippe,RE,2022-03-23 05:32:21,-21.3585,55.7679,83.79,82,13,10.13
14,Bilibino,RU,2022-03-23 05:32:21,68.0546,166.4372,18.73,92,86,2.59
15,Aklavik,CA,2022-03-23 05:32:22,68.2191,-135.0107,-7.11,98,100,15.1
16,Georgetown,MY,2022-03-23 05:30:29,5.4112,100.3354,93.13,74,20,7.0
17,Poum,NC,2022-03-23 05:32:22,-20.2333,164.0167,80.15,75,75,13.13
18,Qaanaaq,GL,2022-03-23 05:32:23,77.484,-69.3632,-7.89,97,100,3.42
19,Punta Arenas,CL,2022-03-23 05:32:23,-53.15,-70.9167,39.31,65,0,12.66
20,Volokonovka,RU,2022-03-23 05:32:24,50.4827,37.8563,31.46,95,48,3.87
