City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avera,US,33.194,-82.5271,65.71,25,0,21.14,clear sky
1,Bluff,NZ,-46.6,168.3333,55.18,81,44,2.26,scattered clouds
2,Brae,GB,60.3964,-1.353,46.98,90,100,12.5,overcast clouds
3,Sioux Lookout,CA,50.1001,-91.917,10.47,56,75,18.41,broken clouds
4,Albany,US,42.6001,-73.9662,47.88,79,100,7.02,moderate rain
5,Lavrentiya,RU,65.5833,-171.0,5.85,97,99,1.32,overcast clouds
6,Coquimbo,CL,-29.9533,-71.3436,67.73,63,40,11.5,scattered clouds
7,Rafaela,AR,-31.2503,-61.4867,77.99,38,0,1.99,clear sky
8,Mahebourg,MU,-20.4081,57.7,80.89,83,40,5.75,scattered clouds
9,Marawi,PH,7.9986,124.2928,67.69,98,100,2.73,overcast clouds
10,Torbay,CA,47.6666,-52.7314,39.76,96,100,5.75,light intensity drizzle
11,Ust-Nera,RU,64.5667,143.2,-8.75,99,99,3.06,overcast clouds
12,Jamestown,US,42.097,-79.2353,38.52,58,100,16.11,overcast clouds
13,Butaritari,KI,3.0707,172.7902,80.91,73,100,13.71,overcast clouds
14,Geraldton,AU,-28.7667,114.6,73.81,88,40,8.05,scattered clouds
15,Qaanaaq,GL,77.484,-69.3632,1.45,92,99,3.83,overcast clouds
16,Airai,TL,-8.9266,125.4092,58.95,88,95,1.19,overcast clouds
17,Hofn,IS,64.2539,-15.2082,44.73,96,100,10.83,overcast clouds
18,Thompson,CA,55.7435,-97.8558,-0.24,46,0,13.8,clear sky
19,Floriano,BR,-6.7669,-43.0225,88.75,59,19,4.14,few clouds
20,Tuatapere,NZ,-46.1333,167.6833,51.42,91,29,1.5,scattered clouds
21,Vaini,TO,-21.2,-175.2,75.36,83,40,5.75,scattered clouds
22,Hirara,JP,24.8,125.2833,68.99,91,100,21.7,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,55.92,82,3,2.51,clear sky
24,Barrow,US,71.2906,-156.7887,-2.18,78,0,18.41,haze
25,Martapura,ID,-3.4167,114.85,77.09,94,75,1.14,broken clouds
26,Indramayu,ID,-6.3264,108.32,78.01,85,100,7.11,overcast clouds
27,Saint George,US,37.1041,-113.5841,82.63,15,0,3.44,clear sky
28,Kodiak,US,57.79,-152.4072,38.71,81,75,0.0,broken clouds
29,Beyneu,KZ,45.3167,55.2,36.68,85,100,14.63,overcast clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,80.56,74,53,9.95,light rain
31,Darasun,RU,51.6667,114.0,4.69,91,4,2.73,clear sky
32,Rikitea,PF,-23.1203,-134.9692,79.3,72,4,12.5,clear sky
33,Luderitz,NA,-26.6481,15.1594,65.48,70,0,7.34,clear sky
34,Ponta Do Sol,PT,32.6667,-17.1,66.06,73,100,14.99,overcast clouds
35,San Jose,US,37.3394,-121.895,75.54,51,40,8.05,scattered clouds
36,Ushuaia,AR,-54.8,-68.3,49.66,81,75,6.91,light intensity drizzle
37,Natal,BR,-5.795,-35.2094,84.42,74,75,9.22,broken clouds
38,Cayenne,GF,4.9333,-52.3333,82.44,1,75,9.22,light rain
39,Banjar,ID,-8.19,114.9675,77.11,89,59,3.31,broken clouds
40,Port-Cartier,CA,50.0334,-66.8654,32.76,98,99,6.55,light snow
41,Sao Filipe,CV,14.8961,-24.4956,70.47,75,72,12.08,broken clouds
42,Loandjili,CG,-4.7561,11.8578,80.71,89,20,5.75,thunderstorm
43,Vila Velha,BR,-20.3297,-40.2925,87.75,74,0,17.27,clear sky
44,Hasaki,JP,35.7333,140.8333,61.29,94,100,14.99,overcast clouds
45,Iqaluit,CA,63.7506,-68.5145,24.53,79,40,13.8,scattered clouds
46,Honningsvag,NO,70.9821,25.9704,24.55,86,75,24.16,light snow
47,Toktogul,KG,41.8708,72.9402,44.78,93,100,1.59,light rain
48,Victoria,HK,22.2855,114.1577,76.95,91,77,11.01,broken clouds
49,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,93,100,16.11,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,62.8,75,88,13.22,overcast clouds
51,Grand Forks,US,47.9417,-97.4337,19.33,45,20,23.02,few clouds
52,Altamira,BR,-3.2033,-52.2064,91.49,62,75,3.44,broken clouds
53,Venado Tuerto,AR,-33.7456,-61.9688,73.76,39,0,7.45,clear sky
54,Yellowknife,CA,62.456,-114.3525,4.41,58,75,14.97,broken clouds
55,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,16.11,mist
56,Punta Arenas,CL,-53.15,-70.9167,53.71,66,100,0.0,light intensity shower rain
